CHARACTER,CHARACTER,CHINESE,ENGLISH,RUSSIAN,SPANISH,JAPANESE,KOREAN,FRENCH,GERMAN,PORTUGUESE,THAI,INDONESIAN,VIETNAMESE
萨尔瓦多,Salvador,应消之苦,End of Suffering,,,,,,Ende des Leidens,,,,
萨尔瓦多,Salvador,奉献,Dedication,,,,,,Hingabe,,,,
萨尔瓦多,Salvador,超度,Liberation,,,,,,Befreiung,,,,
萨尔瓦多,Salvador,救赎,Redemption,,,,,,Erlösung,,,,
萨尔瓦多,Salvador,护以仁爱,Sanctuary of Mercy,,,,,,Heiligtum der Barmherzigkeit,,,,
索蕾尔,Sorel,迎客特权,Host Lady's Privilege,,,,,,Privileg der Gastgeberin,,,,
索蕾尔,Sorel,蔷薇之美,Elegance of Rose,,,,,,Eleganz der Rose,,,,
索蕾尔,Sorel,珠玉之卵,Diamond in the Rough,,,,,,Rohdiamant,,,,
阿格里帕,Agrippa,迷途之旅,Path of the Lost,,,,,,Pfad der Verlorenen,,,,
阿格里帕,Agrippa,不耐的施舍,Reluctant Alms,,,,,,Widerwillige Almosen,,,,
阿格里帕,Agrippa,苍白回旋,Colorless Spiral,,,,,,Farblose Spirale,,,,
菲茵特,Faint,无边星彩,Boundless Starlight,,,,,,Grenzenloses Sternenlicht,,,,
菲茵特,Faint,养分汲取,Nutrient Absorption,,,,,,Nährstoffaufnahme,,,,
菲茵特,Faint,幼芽萌生,Sprouting Bud,,,,,,Keimende Knospe,,,,
希莱斯特,Celeste,庇佑之力,Power of Blessing,,,,,,Kraft des Segens,,,,
希莱斯特,Celeste,纯白梦境,Tintless Dream,,,,,,Farbloser Traum,,,,
希莱斯特,Celeste,永存的幻影,Everlasting Phantasm,,,,,,Ewiges Trugbild,,,,
凯刻斯,Caecus,蜕变之躯,Metamorphosed Body,,,,,,Metamorphosierter Körper,,,,
凯刻斯,Caecus,逆鳞之护,Protective Scales,,,,,,Schutzschuppen,,,,
凯刻斯,Caecus,破碎沉戟,Shattered Halberd,,,,,,Zerstörte Hellebarde,,,,
奥瑞塔,Aurita,自我增殖,Self-Proliferation,,,,,,Selbstvermehrung,,,,
奥瑞塔,Aurita,腺体分裂,Gland Division,,,,,,Drüsentrennung,,,,
奥瑞塔,Aurita,同伴的力量,Power of Friendship,,,,,,Kraft der Freundschaft,,,,
法洛思,Faros,湮塞的执念,Abyssal Obsession,,,,,,Abgründige Besessenheit,,,,
法洛思,Faros,狂热之海,Ocean of Elation,,,,,,Ozean der Euphorie,,,,
法洛思,Faros,深邃暗流,Deep Currents,,,,,,Tiefe Strömungen,,,,
珊,Sanga,忘我之境,Realm of Oblivion,,,,,,Reich der Vergessenheit,,,,
珊,Sanga,美的怜悯,Beauty's Mercy,,,,,,Die Gnade der Schönheit,,,,
珊,Sanga,封闭创作,Opus of Isolation,,,,,,Opus der Isolation,,,,
弥利亚姆,Miryam,信仰的见证,Testament of Faith,,,,,,Testament des Glaubens,,,,
弥利亚姆,Miryam,信仰的歧路,Heretical Faith,,,,,,Ketzerischer Glaube,,,,
弥利亚姆,Miryam,坚守自我,Iron Resolve,,,,,,Eiserne Entschlossenheit,,,,
弥利亚姆,Miryam,投身启示,Revelate Devotion,,,,,,Hingabe offenbaren,,,,
弥利亚姆,Miryam,信仰的终结,The End of Belief,,,,,,Das Ende des Glaubens,,,,
弥利亚姆,Miryam,执妄,Obsession,,,,,,Besessenheit,,,,
弥利亚姆,Miryam,圣礼,Sacrament,,,,,,Sakrament,,,,
墨菲,Murphy,受造之物,Made Into Being,,,,,,Ins Leben gerufen,,,,
墨菲,Murphy,螺湮逆流,Vortex Reversed,,,,,,Umgekehrter Wirbel,,,,
墨菲,Murphy,圣女作成,Divine Maiden's Birth,,,,,,Geburt der göttlichen Maid,,,,
戈利亚,Goliath,巨刃之威,Blade's Dominion,,,,,,Klingenherrschaft,,,,
戈利亚,Goliath,篡夺,Usurp,,,,,,Usurpieren,,,,
戈利亚,Goliath,蛰伏,Dormancy,,,,,,Ruhezustand,,,,
图鲁,Tulu,不朽威仪,Immortal Majesty,,,,,,Unsterbliche Majestät,,,,
图鲁,Tulu,深渊号令,Abyss Order,,,,,,Abgrundsbefehl,,,,
图鲁,Tulu,螺湮重临,When Lemuria Returns,,,,,,Wenn Lemuria zurückkehrt,,,,
宁菲亚,Nymphaea,夜潮汹涌,Midnight Tide,,,,,,Mitternachtsflut,,,,
诺缔拉,Nautila,维修大师,Maintenance Expert,,,,,,Wartungsexperte,,,,
诺缔拉,Nautila,高热区禁入,No Trespassing,,,,,,Betreten verboten,,,,
诺缔拉,Nautila,短期记忆,Short-Term Memory,,,,,,Kurzzeitgedächtnis,,,,
「24」,24,调停人格,Mediating Personalities,,,,,,Vermittelnde Persönlichkeiten,,,,
艾尔瓦,Alva,战地卓识,Outstanding Veteran,,,,,,Hervorragender Veteran,,,,
艾尔瓦,Alva,临战体势,Combat Stance,,,,,,Kampfstellung,,,,
艾尔瓦,Alva,心眼利刃,Precision Slash,,,,,,Präzisionshieb,,,,
珈伦,Karen,凸月之舞,Dance of the Gibbous Moon,,,,,,Tanz des Dreiviertelmondes,,,,
珈伦,Karen,蟾蜍炖菜,Toad Stew,,,,,,Kröteneintopf,,,,
珈伦,Karen,静默守望,Silent Fealty,,,,,,Stille Lehnstreue,,,,
珈伦,Karen,奇妙料理,Marvelous Cuisine,,,,,,Wunderbare Küche,,,,
莉莉,Lily,黏液汇集,Slime Convergence,,,,,,Schleimkonvergenz,,,,
莱克,Ryker,绝佳运气,Exceptional Luck,,,,,,Außergewöhnliches Glück,,,,
莱克,Ryker,意外收获,Unexpected Gain,,,,,,Unerwarteter Gewinn,,,,
莱克,Ryker,摊牌时刻,Showdown,,,,,,Showdown,,,,
莱克,Ryker,偏方骰子,Octahedron Dice,,,,,,Oktaederwürfel,,,,
莱克,Ryker,闪耀偏方骰子,Shining Octahedron Die,,,,,,Glänzender Oktaederwürfel,,,,
莱克,Ryker,庄家通吃,House Wins All,,,,,,Das House gewinnt alles,,,,
莉兹,Liz,翡翠映像,Emerald Reflection,,,,,,Smaragdgrüne Reflexion,,,,
莉兹,Liz,诱蛾之火,Moth-Trapping Fire,,,,,,Mottenfängerfeuer,,,,
莉兹,Liz,绿炎,Green Flames,,,,,,Grüne Flammen,,,,
莉兹,Liz,腐化绿炎,Corrupted Flames,,,,,,Verdorbene Flammen,,,,
莉兹,Liz,死灭绿炎,Deadly Flames,,,,,,Tödliche Flammen,,,,
旺达,Wanda,深眠反击,Slumber Counter,,,,,,Schlummerzähler,,,,
旺达,Wanda,呓语回音,Echoes of Whispers,,,,,,Echos von Flüstern,,,,
旺达,Wanda,催眠脉络,Hypnotic Veins,,,,,,Hypnotische Venen,,,,
旺达,Wanda,活尸梦呓,Living Dead's Delirium,,,,,,Delirium der lebenden Toten,,,,
旺达,Wanda,迷途之守,Keeper of the Lost,,,,,,Hüter der Verlorenen,,,,
旺达,Wanda,脊刺锁链,Spine Needle Chains,,,,,,Wirbelsäulennadelketten,,,,
达芙黛尔,Daffodil,维度投射,Dimensional Projection,,,,,,Dimensionale Projektion#,,,,
达芙黛尔,Daffodil,断颈一击,Skull Reaver,,,,,,Schädelräuber,,,,
达芙黛尔,Daffodil,异质潮汐,Heterogeneous Tides,,,,,,Heterogene Gezeiten,,,,
达芙黛尔,Daffodil,千面幻象,Thousand Mirage,,,,,,Tausend-Fata Morgana,,,,
达芙黛尔,Daffodil,妙手,Finesse,,,,,,Finesse,,,,
达芙黛尔,Daffodil,筹算,Computation,,,,,,Berechnung,,,,
达芙黛尔,Daffodil,催化,Catalyst,,,,,,Katalysator,,,,
达芙黛尔,Daffodil,高维妙手,Hpr. Finesse,,,,,,Hpr. Finesse,,,,
达芙黛尔,Daffodil,高维筹算,Hpr. Computation,,,,,,Hpr. Berechnung,,,,
达芙黛尔,Daffodil,高维易伤,Hpr. Vulnerable,,,,,,Hpr. Verwundbar,,,,
达芙黛尔,Daffodil,高维虚弱,Hpr. Weakness,,,,,,Hpr. Schwäche,,,,
达芙黛尔,Daffodil,高维狂气,Hpr. Aliemus,,,,,,Hpr. Aliemus,,,,
达芙黛尔,Daffodil,高维催化,Hpr. Catalysis,,,,,,Hpr. Katalyse,,,,
达芙黛尔,Daffodil,高维灵感,Hpr. Insight,,,,,,Hpr. Einblick,,,,
达芙黛尔,Daffodil,暴击,Critical Hit,,,,,,Kritischer Treffer,,,,
达芙黛尔,Daffodil,穿刺,Pierce,,,,,,Durchstechen,,,,
达芙黛尔,Daffodil,检索,Retrieve,,,,,,Wiedererlangen,,,,
达芙黛尔,Daffodil,巨力,Brawn,,,,,,Muskelkraft,,,,
达芙黛尔,Daffodil,钥能,Keyflare,,,,,,Keyflare,,,,
达芙黛尔,Daffodil,定向催化,Directed Catalysis,,,,,,Gerichtete Katalyse,,,,
达芙黛尔,Daffodil,暴击推演,Critical Fateweaving,,,,,,Kritisches Schicksalsweben,,,,
达芙黛尔,Daffodil,精算检索,Precise Retrieval,,,,,,Präzises Wiedererlangen,,,,
达芙黛尔,Daffodil,高维巨力,Hpr. Brawn,,,,,,Hpr. Muskelkraft,,,,
达芙黛尔,Daffodil,祝福,Blessing,,,,,,Segen,,,,
达芙黛尔,Daffodil,穿刺暴击,Pierce Critical Hit,,,,,,Durchstechender kritischer Treffer,,,,
达芙黛尔,Daffodil,高维定向催化,Hpr. Directed Catalysis,,,,,,Hpr. gerichtete Katalyse,,,,
达芙黛尔,Daffodil,高维钥能,Hpr. Keyflare,,,,,,Hpr. Keyflare,,,,
汀克特,Tinct,界外之音,Voices from Beyond,,,,,,Stimmen aus dem Jenseits,,,,
汀克特,Tinct,安魂曲,Requiem,,,,,,Requiem,,,,
汀克特,Tinct,绵音渐响,Distant Melody,,,,,,Ferne Melodie,,,,
温柯尔,Winkle,自我封锁,Self-Imprisonment,,,,,,Selbstinhaftierung,,,,
温柯尔,Winkle,能量射线,Energy Beam,,,,,,Energiestrahl,,,,
温柯尔,Winkle,精神重建,Psyche Reforged,,,,,,Wiederhergestelle Psyche,,,,
奥尔拉,Horla,狂想诗篇,Snarl Psalm,,,,,,Knurrpsalm,,,,
奥尔拉,Horla,哀恸诗篇,Elegy Psalm,,,,,,Elegiepsalm,,,,
奥尔拉,Horla,纷华篇章,Resplendent Chapters,,,,,,Prächtige Kapitel,,,,
奥尔拉,Horla,诗册序言,Prelude Verse,,,,,,Präludiumvers,,,,
奥尔拉,Horla,幻梦诗篇,Carol Psalm,,,,,,Jubelliedpsalm,,,,
奥尔拉,Horla,诡谲诗篇,Dirge Psalm,,,,,,Klagepsalm,,,,
詹金,Jenkin,超级大集结！,Ultimate Assemble!,,,,,,Ultimatives Versammeln!,,,,
詹金,Jenkin,无,Null,,,,,,Nichtig,,,,
艾瑞卡,Erica,参数拟合,Parameter Fitting,,,,,,Parameteranpassung,,,,
艾瑞卡,Erica,机械武装-放,Unleash: Mecha,,,,,,Entfesseln: Mecha,,,,
艾瑞卡,Erica,机能过载,Function Overload,,,,,,Funktionsüberladung,,,,
艾瑞卡,Erica,机械武装-敛,Retract: Mecha,,,,,,Widerrufen: Mecha,,,,
卡茜亚,Casiah,演出序幕,Opening Act,,,,,,Erster Akt,,,,
卡茜亚,Casiah,隔空取物,Telekinesis,,,,,,Telekinese,,,,
卡茜亚,Casiah,统统消失！,Poof!,,,,,,Poof!,,,,
克莱门汀,Clementine,转化·恐惧固着,Conversion: Phobic Fixation,,,,,,Konvertierung: Phobische Fixierung,,,,
克莱门汀,Clementine,转化·精神创伤,Conversion: Psychic Trauma,,,,,,Konvertierung: Psychisches Trauma,,,,
克莱门汀,Clementine,妖虫的呼唤,Call of Shaggai,,,,,,Ruf des Shaggai,,,,
克莱门汀,Clementine,痛苦榨取,Pain Extraction,,,,,,Schmerzextraktion,,,,
克莱门汀,Clementine,精神抚慰,Soulsalve,,,,,,Seelensalbe,,,,
哈姆林,Hameln,原初的乐音,Primal Chord,,,,,,Urakkord,,,,
哈姆林,Hameln,此曲应得称颂,Laudable Masterpiece,,,,,,Lobenswertes Meisterwerk,,,,
哈姆林,Hameln,灵魂序曲,Soul Overture,,,,,,Seelen-Ouvertüre,,,,
哈姆林,Hameln,追忆回旋曲,Memory Rondo,,,,,,Erinnerungsrondo,,,,
哈姆林,Hameln,协乐的交响,Symphony of Harmony,,,,,,Symphonie der Harmonie,,,,
哈姆林,Hameln,上行音,Ascending Scale,,,,,,Aufsteigende Tonleiter,,,,
哈姆林,Hameln,下行音,Descending Scale,,,,,,Absteigende Tonleiter,,,,
血链·希洛,Helot: Catena,缚身锁链,Sanguine Fetters,,,,,,Blutige Fesseln,,,,
血链·希洛,Helot: Catena,索魂者宣言,Reaper's Declaration,,,,,,Deklaration der Seelensammlerin,,,,
血链·希洛,Helot: Catena,恨意宣泄,Hatred Unleashed,,,,,,Entfesselter Hass,,,,
血链·希洛,Helot: Catena,鲜血链条,Crimson Shackles,,,,,,Blutrote Fesseln,,,,
血链·希洛,Helot: Catena,嗜血链球,Bloodthirsty Flail,,,,,,Blutrünstiger Dreschflegel,,,,
血链·希洛,Helot: Catena,不规则形态 · 血链,Irregular Form: Chains,,,,,,Irreguläre Form: Ketten,,,,
塔薇,Tawil,穿越银钥之门,The Silver Key Gate,,,,,,Das Silberschlüsseltor,,,,
塔薇,Tawil,通晓万物之理,Omniscient Verity,,,,,,Allwissende Wahrheit,,,,
塔薇,Tawil,纵贯时序之翼,Pinions of Time,,,,,,Zahnräder der Zeit,,,,
克珀珊特,Corposant,沉没于远海,Sunken in the Profound,,,,,,Versunken im Tiefgründigen,,,,
克珀珊特,Corposant,惩戒雷霆,Lightning Retribution,,,,,,Blitzvergeltung,,,,
克珀珊特,Corposant,混沌旗语,Ominous Semaphore,,,,,,Unheilvolles Semaphor,,,,
克珀珊特,Corposant,领航,Pilot,,,,,,Lotsen,,,,
卡斯托尔,Castor,翱翔夙愿,Skybound Oath,,,,,,Himmelsgebundener Eid,,,,
卡斯托尔,Castor,穿行永夜,Umbral Flight,,,,,,Umbralflug,,,,
卡斯托尔,Castor,蔽日之羽,Stygian Wings,,,,,,Stygische Flügel,,,,
杜勒赛因,Doresain,王邸的请柬,Crimson Invite,,,,,,Blutrote Einladung,,,,
杜勒赛因,Doresain,亡骸祭礼,Dirge of the Fallen,,,,,,Klagelied der Gefallenen,,,,
杜勒赛因,Doresain,冥府之路,Netherward Path,,,,,,Unterweltspfad,,,,
杜勒赛因,Doresain,永夜欢宴,Evernight's Revel,,,,,,Immernachtsfeier,,,,
杜勒赛因,Doresain,永夜欢宴,Eternal Night Feast,,,,,,Ewiges Nachtfestmahl,,,,
,,寄生,Parasite,,,,,,Parasit,,,,
,,孵化重塑,Hatching Larvae,,,,,,Schlüpfende Larven,,,,
,,母体搜寻,Searching for Host,,,,,,Suche nach einem Wirt,,,,
,,创口撕扯,Maggot-Sewn Rictus,,,,,,Madengenähte Grimasse,,,,
,,混乱,Chaos,,,,,,Chaos,,,,
,,溺毙之怨,Drowned Resentment,,,,,,Ertränkter Groll,,,,
,,清扫,Sweep,,,,,,Fegen,,,,
,,呼啸,Howl,,,,,,Heulen,,,,
,,遗恨围捕,Brine-Bitter Ire,,,,,,Salzlakenbitterer Zorn,,,,
,,航海料理,Seafaring Cuisine,,,,,,Seefahrerküche,,,,
,,意外身故,Waterlogged Demise,,,,,,Wasserdurchtränktes Ableben,,,,
,,遗恨,Ire,,,,,,Zorn,,,,
,,窒息之苦,Suffocating Anguish,,,,,,Erstickende Qual,,,,
,,猎物标记,Prey Mark,,,,,,Beutenmarkierung,,,,
,,猎矛突刺,Spear Thrust,,,,,,Speerstoß,,,,
,,虚弱一击,Weakness Strike,,,,,,Schwächeschlag,,,,
,,刺击,Thrust,,,,,,Stoß,,,,
,,深潜,Deep Dive,,,,,,Tiefer Tauchgang,,,,
,,附骨侵蚀,Bone Erosion,,,,,,Knochenerosion,,,,
,,深潜标记,Deep Dive Mark,,,,,,Tieftauchmarkierung,,,,
,,怒涛牵引,Maw of Raging Tides,,,,,,Schlund der tobenden Gezeiten,,,,
,,巨刃斩击,Colossus Cleave,,,,,,Spalte des Kolossos,,,,
,,挥砍,Slash,,,,,,Hieb,,,,
,,噬咬,Bite,,,,,,Biss,,,,
,,迟缓迷毒,Stagnation Toxin,,,,,,Stagnierungstoxin,,,,
,,群蛇撕裂,Serpent Rend,,,,,,Schlangenriss,,,,
,,迟滞入骨,Bone-Deep Stagnation,,,,,,Stagnierung bis ins Mark,,,,
,,寻踪,Track,,,,,,Nachspüren,,,,
,,神降仪式·呼唤,Divine Descent: Invocation,,,,,,Göttlicher Abstieg: Beschwörung,,,,
,,神降仪式·降临,Divine Descent: Arrival,,,,,,Göttlicher Abstieg: Ankunft,,,,
,,「为▼▼降临扫除▼▼」,"""For the Arrival of ▼▼""",,,,,,"""Für die Ankunft von ▼▼""",,,,
,,水手祝福,Sailor Blessing,,,,,,Segen des Seemanns,,,,
,,代行者的裁决,The Executor's Verdict,,,,,,Das Urteil des Vollstreckers,,,,
,,追猎注视,Hunter's Gaze,,,,,,Blick des Jägers,,,,
,,割喉挥砍,Gutteral Severance,,,,,,Gutturale Durchtrennung,,,,
,,猎颅诅咒,Skullhunter's Curse,,,,,,Fluch des Schädeljägers,,,,
,,隐匿突袭,Conceal Assault,,,,,,Verdeckter Angriff,,,,
,,蓄力回响,Charge Echo,,,,,,Überladungsecho,,,,
,,割喉挥砍(破绽),Lethal Slash (Falter),,,,,,Tödlicher Hieb (Schwanken),,,,
,,无声尖啸,Silent Scream,,,,,,Stummer Schrei,,,,
,,狩猎仪式,Hunting Ceremony,,,,,,Jagdzeremonie,,,,
,,裂颅一击,Skull Crusher,,,,,,Schädelbrecher,,,,
,,相位变换,Phase Transformation,,,,,,Phasenumwandlung,,,,
,,千面幻象·虚,Thousand Mirage: Illusion,,,,,,Tausend-Fata Morgana: Illusion,,,,
,,咆哮的头颅,Roaring Skull,,,,,,Brüllender Schädel,,,,
,,吵闹的头颅,Noisy Skull,,,,,,Lauter Schädel,,,,
,,亮晶晶的头颅,Shining Skull,,,,,,Leuchtender Schädel,,,,
达芙黛尔,Daffodil,伤害+易伤,Damage + Vulnerable,,,,,,Schaden + Verwundbar,,,,
达芙黛尔,Daffodil,伤害,Damage,,,,,,Schaden,,,,
达芙黛尔,Daffodil,伤害+力量降低,Damage + STR▼,,,,,,Schaden + STR▼,,,,
达芙黛尔,Daffodil,食肉水仙,Carnivorous Daffodil,,,,,,Fleischfressende Narzisse,,,,
达芙黛尔,Daffodil,食脑水仙,Cerebrovorous Daffodil,,,,,,Gehirnfressende Narzisse,,,,
达芙黛尔,Daffodil,食腐水仙,Saprovorous Daffodil,,,,,,Geschmacksfressende Narzisse,,,,
达芙黛尔,Daffodil,护盾+力量,Shield + Strength,,,,,,Schild + Stärke,,,,
达芙黛尔,Daffodil,护盾+伤害,Shield + Damage,,,,,,Schild + Schaden,,,,
达芙黛尔,Daffodil,VL-13号胶卷,VL-13 Film Reel,,,,,,VL-13 Filmrolle,,,,
达芙黛尔,Daffodil,VL-7号胶卷,VL-7 Film Reel,,,,,,VL-7 Filmrolle,,,,
达芙黛尔,Daffodil,VL-9号胶卷,VL-9 Film Reel,,,,,,VL-9 Filmrolle,,,,
达芙黛尔,Daffodil,连击+症状,Combo + Symptom,,,,,,Kombo + Sypmtom,,,,
达芙黛尔,Daffodil,连击+出血,Combo + Bleed,,,,,,Kombo + Bluten,,,,
达芙黛尔,Daffodil,连击+降狂气,Combo + Aliemus▼,,,,,,Kombo + Aliemus▼,,,,
达芙黛尔,Daffodil,千面幻象·实,Thousand Mirage: Reality,,,,,,Tausend-Fata Morgana: Realität,,,,
达芙黛尔,Daffodil,伤害+易伤+力量降低,Damage + Vulnerable + STR▼,,,,,,Schaden + Verwundbar + STR ▼,,,,
达芙黛尔,Daffodil,护盾+伤害+力量,Shield + DMG + Strength,,,,,,Schild + Schaden + Stärke,,,,
达芙黛尔,Daffodil,连击+出血+症状,Combo + Bleed + Symptom,,,,,,Kombo + Bluten + Symptom,,,,
达芙黛尔,Daffodil,连击+出血+降低狂气,Combo + Bleeding + Aliemus▼,,,,,,Kombo + Bluten + Aliemus▼,,,,
达芙黛尔,Daffodil,连击+降低狂气+症状,Combo + Aliemus▼ + Symptom,,,,,,Kombo + Aliemus▼ + Symptom,,,,
尤乌哈希,Uvhash,沸腾吧！血,"Boil, Blood!",,,,,,"Koche, Blut!",,,,
尤乌哈希,Uvhash,尖啸吧！血,"Screech, Blood!",,,,,,"Kreische, Blut!",,,,
尤乌哈希,Uvhash,血与沙之歌,Song of Blood and Sand,,,,,,Lied des Blutes und Sandes,,,,
,,契约回响,Contract Echoes,,,,,,Echos des Vertrags,,,,
尤乌哈希,Uvhash,血与沙之歌·狂,Song of Blood and Sand: Rage,,,,,,Lied des Blutes und Sandes: Wut,,,,
尤乌哈希,Uvhash,血怒连击(破绽),Blood Fury Combo (Falter),,,,,,Blutzorn-Kombo (Schwanken),,,,
卡茜亚,Casiah,魔术牌：衰弱,Magic Card: Weakening,,,,,,Zauberkarte: Schwächung,,,,
卡茜亚,Casiah,魔术牌：穿破,Magic Card: Penetration,,,,,,Magic Card: Penetration,,,,
卡茜亚,Casiah,鬼牌,Joker,,,,,,Joker,,,,
卡茜亚,Casiah,惊喜！,Surprise!,,,,,,Überraschung!,,,,
,,幸运观众,Lucky Audience,,,,,,Glückliches Publikum,,,,
,,特技飞牌,Card Razor,,,,,,Kartenklinge,,,,
,,魔术连打,Magic Combo,,,,,,Magische Kombo,,,,
,,无中生有,From the Void,,,,,,Aus der Leere,,,,
,,大变活人,Live Action Stunt,,,,,,Live-Action-Stunt,,,,
,,跳动的炸弹,Pulsing Bomb,,,,,,Pulsierende Bombe,,,,
,,惊奇表演,Amazing Performance,,,,,,Erstaunliche Leistung,,,,
,,黑色召唤,Black Summoning,,,,,,Schwarze Beschwörung,,,,
,,盲目契约,Oath Unseen,,,,,,Unsichtbarer Eid,,,,
,,伏行之雾,Creeping Mist,,,,,,Kriechender Nebel,,,,
,,无上蒙宠,Transcendent Boon,,,,,,Transzendenter Segen,,,,
,,蔷薇的愿望,Rose's Wish,,,,,,Wunsch der Rose,,,,
,,「低语」\n算力 ≥3,"""Whisper""\nArithmetica ≥3",,,,,,"""Flüstern""\nArithmetica ≥3",,,,
,,「低语」\n算力 0,"""Whisper""\nArithmetica 0",,,,,,"""Flüstern""\nArithmetica 0",,,,
,,「低语」\n狂气爆发2,"""Whisper""\nExalt 2",,,,,,"""Flüstern""\nVerherrlichung 2",,,,
,,「低语」\n症状,"""Whisper""\nSymptom",,,,,,"""Flüstern""\nSymptom",,,,
,,「低语」\n出牌 5,"""Whisper""\nPlay 5 Cards",,,,,,"""Flüstern""\nSpiel 5 Karten",,,,
,,「低语」\n钥令,"""Whisper""\nPosse",,,,,,"""Flüstern""\nPosse",,,,
,,混沌降临,Chaos Arrival,,,,,,Chaos-Ankunft,,,,
,,无言恐惧,Wordless Fear,,,,,,Wortlose Angst,,,,
,,暗色侵蚀,Dark Erosion,,,,,,Dunkle Erosion,,,,
,,临别赠礼,Parting Sacrament,,,,,,Abschiedssakrament,,,,
,,复苏,Revive,,,,,,Wiederbeleben,,,,
,,轮回悖论,Time Paradox,,,,,,Zeitparadox,,,,
,,真·轮回悖论,Time Paradox EX,,,,,,Zeitparadox EX,,,,
,,食物中毒,Food Poisoning,,,,,,Lebensmittelvergiftung,,,,
,,女仆魔法,Maid Magic,,,,,,Dienstmädchen-Magie,,,,
,,觉醒,Rouse,,,,,,Erwecken,,,,
,,黑暗料理,Creepy Cuisine,,,,,,Gruselige Küche,,,,
,,珈伦的特制料理,Karen's Special Dish,,,,,,Karens Spezialgericht,,,,
,,黑色混沌,Obsidian Maw,,,,,,Obsidianschlund,,,,
,,旧日之梦,Elder Dream,,,,,,Älterer Traum,,,,
,,啼哭,Wailing,,,,,,Jammern,,,,
,,梦呓,Murmurs,,,,,,Gemurmel,,,,
,,长梦,Long Dream,,,,,,Langer Traum,,,,
,,受诞之种,Birthing Spore,,,,,,Sporenbildung,,,,
,,梦魇编织,Dread Loom,,,,,,Fürchterlicher Webstuhl,,,,
,,万世之苦,Eternal Suffering,,,,,,Ewiges Leiden,,,,
,,呓语,Murmurs,,,,,,Gemurmel,,,,
墨菲,Murphy,呵斥，以报恩仇,"Chastise, to Settle a Blood Debt",,,,,,"Züchtige, um eine Blutschuld zu begleichen",,,,
墨菲,Murphy,牺牲，以敬自由,"Sacrifice, to Light Freedom's Flames",,,,,,"Opfere, um die Flammen der Freiheit zu entzünden",,,,
墨菲,Murphy,刎颈，以行威仪,"Behead, to Crown the Unbowed",,,,,,"Enthaupte, um die Unbeugsamen zu krönen",,,,
,,小憩,Short Nap,,,,,,Kurzes Nickerchen,,,,
,,王权,Sovereign,,,,,,Herrscher,,,,
,,荆棘,Thorns,,,,,,Dornen,,,,
,,猩红荆棘,Crimson Thorns,,,,,,Blutrote Dornen,,,,
,,爆裂猩红荆棘,Crimson Thornburst,,,,,,Blutroter Dornenausbruch,,,,
,,棘刺,Thorn,,,,,,Dorn,,,,
,,血腥棘刺,Bloodthorn,,,,,,Blutdorn,,,,
,,爆裂血腥棘刺,Explosive Bloodthorns,,,,,,Explosive Blutdornen,,,,
,,哺乳,Nursing,,,,,,Stillen,,,,
,,繁育,Breeding,,,,,,Zucht,,,,
,,多重融合,Multi-Fusion,,,,,,Multi-Fusion,,,,
,,毒腺哺乳,Venom Gland Lactation,,,,,,Giftdrüsenlaktation,,,,
,,万千子嗣之母,Mother of Million Offsprings,,,,,,Mutter von Millionen Nachkommen,,,,
,,亚兰祷言,Aram Prayer,,,,,,Aram-Gebet,,,,
,,神圣子嗣,Divine Progeny,,,,,,Göttliches Nachkommen,,,,
,,奔涌树汁,Surging Sap,,,,,,Saftschwall,,,,
,,塔薇效果测试,Tawil Effect Test,,,,,,Tawil-Effekttest,,,,
,,嗜血之爪,Bloodthirsty Claw,,,,,,Blutrünstige Klaue,,,,
,,狂乱之咬,Frenzied Bite,,,,,,Wilder Biss,,,,
,,疯狂嗜血之爪,Madness Bloodthirsty Claw,,,,,,Wahnsinnige blutrünstige Klaue,,,,
,,疯狂狂乱之咬,Madness Frenzied Bite,,,,,,Wahnsinniger wilder Biss,,,,
,,攻击,ATK,,,,,,ANG,,,,
,,主教的奉献,Bishop's Dedication,,,,,,Hingabe des Bischofs,,,,
,,罚罪,Sin Punishment,,,,,,Sündenahndung,,,,
,,爪击,Claw Strike,,,,,,Klauenangriff,,,,
,,以牙还牙,An Eye for an Eye,,,,,,Auge um Auge,,,,
,,狂放,Unrestrained,,,,,,Hemmungslos,,,,
,,「镜中审视」,"""Mirror Inspection""",,,,,,"""Spiegelinspektion""",,,,
,,「镜中审视」反击,"""Mirror Inspection"" Counter",,,,,,"""Spiegelinspektion"" Kontern",,,,
,,「镜中审视」净化,"""Mirror Inspection"" Purify",,,,,,"""Spiegelinspektion"" Reinigen",,,,
,,「镜中审视」植入,"""Mirror Inspection"" Implant",,,,,,"""Spiegelinspektion"" Implantieren",,,,
,,惩戒,Punishment,,,,,,Bestrafung,,,,
,,「失序撕咬」,"""Hysteric Bite""",,,,,,"""Hysterischer Biss""",,,,
,,「失序撕咬」重击,"""Hysteric Bite"" Heavy Blow",,,,,,"""Hysterischer Biss"" Schwerer Schlag",,,,
,,「失序撕咬」回复,"""Hysteric Bite"" Heal",,,,,,"""Hysterischer Biss"" Heilen",,,,
,,「失序撕咬」弱化,"""Hysteric Bite"" Weaken",,,,,,"""Hysterischer Biss"" Schwächen",,,,
,,「镜中判决」,"""Mirror Judgement""",,,,,,"""Spiegelurteil""",,,,
